1 1:5579.26 2:-287.527 3:222.93 4:348.952 5:645.853 6:-376.403 7:425.128 8:180.868 9:97.7326 10:-224.766 11:-11.2213 12:-86.4724 13:-15.5195 14:-376.676 15:107.825 16:64.9748 17:-4.36296 18:-190.002 19:-143.804 20:53.0366
1 1:6307.82 2:-1171.47 3:-148.828 4:600.376 5:372.89 6:29.5809 7:174.812 8:-210.236 9:149.596 10:-127.008 11:-192.521 12:-96.4575 13:177.342 14:56.4924 15:-217.17 16:116.807 17:-140.733 18:184.492 19:-325.06 20:42.2909
1 1:6227.97 2:217.12 3:55.184 4:-559.64 5:-492.037 6:-198.704 7:-238.451 8:-267.034 9:253.479 10:-355.16 11:243.622 12:41.3523 13:-185.797 14:-2.81671 15:-424.642 16:8.07567 17:-98.4362 18:61.5233 19:8.73553 20:15.3881
1 1:5452.73 2:-304.405 3:1030.83 4:395.099 5:-146.467 6:-529.554 7:555.22 8:181.385 9:198.061 10:53.7996 11:68.5449 12:219.414 13:-230.812 14:-97.4147 15:59.7045 16:-5.90064 17:138.556 18:-139.004 19:42.7577 20:83.3307
1 1:7026.27 2:-515.153 3:-39.2999 4:154.828 5:600.917 6:316.6 7:21.9083 8:78.6337 9:-26.0931 10:210.064 11:36.0008 12:88.9635 13:126.751 14:32.4704 15:165.977 16:-77.8475 17:81.9691 18:-51.0329 19:-136.294 20:-97.713
1 1:7016.57 2:-1062.5 3:-240.641 4:39.1063 5:468.107 6:252.612 7:51.7032 8:-313.49 9:-147.444 10:235.17 11:-67.4056 12:129.689 13:155.069 14:457.28 15:0.597401 16:50.5195 17:230.772 18:95.1601 19:-38.2651 20:77.6953
1 1:5908.92 2:-1611.94 3:65.7486 4:-26.3765 5:629.092 6:135.17 7:190.021 8:354.592 9:-86.8265 10:317.485 11:-233.993 12:-50.1558 13:-181.386 14:389.882 15:-24.5844 16:-211.417 17:123.111 18:-7.33614 19:-24.4541 20:316.669
1 1:6060.67 2:-604.556 3:-24.7651 4:20.5047 5:-411.145 6:233.869 7:21.1073 8:-307.135 9:38.7345 10:494.439 11:251.942 12:177.871 13:115.442 14:-152.518 15:156.341 16:38.4985 17:-262.499 18:-44.3179 19:154.675 20:-52.63
1 1:6051.64 2:-321.997 3:-227.421 4:311.865 5:279.162 6:290.076 7:80.1007 8:28.3769 9:43.5595 10:448.141 11:-67.5741 12:36.1127 13:104.058 14:-68.3525 15:140.595 16:38.5156 17:-12.1249 18:12.8695 19:-81.258 20:-102.066
1 1:5690.24 2:179.475 3:283.329 4:124.061 5:-366.395 6:645.27 7:-173.198 8:-65.7344 9:-340.172 10:-261.474 11:78.6848 12:-159.551 13:-53.9331 14:-146.904 15:-38.1714 16:-128.328 17:147.189 18:26.2808 19:182.693 20:138.529
1 1:6635.54 2:-292.896 3:-272.069 4:397.652 5:229.427 6:-108.903 7:-112.581 8:-336.374 9:-72.7447 10:-159.613 11:114.257 12:53.1453 13:9.11936 14:-51.0908 15:35.2174 16:249.104 17:-58.9619 18:-30.1522 19:-202.521 20:-38.7517
1 1:4401.34 2:-692.613 3:406.122 4:-599.898 5:540.442 6:247.237 7:-175.548 8:410.957 9:-141.664 10:50.7622 11:195.1 12:107.044 13:187.97 14:-13.4148 15:-8.39884 16:392.52 17:117.543 18:100.729 19:254.401 20:33.0878
1 1:7156.6 2:-506.726 3:767.196 4:-283.855 5:-209.361 6:-78.1206 7:269.622 8:-353.473 9:-219.596 10:-38.1106 11:-333.106 12:109.404 13:-105.879 14:-86.7437 15:233.294 16:89.8053 17:-4.82472 18:70.5434 19:-107.466 20:57.5646
1 1:5986.31 2:608.426 3:9.36194 4:-707.873 5:164.419 6:-134.665 7:-80.2988 8:-244.323 9:-196.454 10:-89.5674 11:104.738 12:196.911 13:14.1368 14:67.4813 15:27.7829 16:132.58 17:-278.97 18:-40.6265 19:208.211 20:-8.53195
1 1:5685.36 2:-108.379 3:851.748 4:-903.798 5:-4.57631 6:393.201 7:31.0557 8:-512.922 9:124.583 10:116.818 11:34.8003 12:44.5105 13:-118.659 14:-46.7395 15:47.1552 16:-37.1081 17:-118.989 18:-62.9317 19:68.2723 20:46.7629
1 1:5464.67 2:-372.74 3:560.57 4:-276.051 5:437.66 6:87.731 7:48.1011 8:5.77172 9:11.765 10:-167.896 11:-110.485 12:-101.112 13:191.059 14:-58.0754 15:-73.1009 16:-85.5894 17:-44.2619 18:-7.3838 19:101.756 20:12.8537
1 1:6693.6 2:-1119.52 3:2.4838 4:49.7218 5:889.432 6:460.773 7:-133.869 8:118.846 9:-273.157 10:676.314 11:187.153 12:168.55 13:212.993 14:215.117 15:211.816 16:-182.668 17:298.03 18:-66.6434 19:96.9268 20:-24.7827
1 1:4797.23 2:568.053 3:-331.909 4:-7.78536 5:-328.969 6:-287.335 7:-90.2056 8:977.936 9:246.029 10:-40.37 11:-80.4414 12:159.791 13:-381.793 14:18.7594 15:63.7326 16:137.347 17:182.35 18:-154.527 19:-148.945 20:234.87
1 1:5744.17 2:-1089.62 3:145.97 4:-364.632 5:630.955 6:-100.583 7:96.2435 8:-182.832 9:27.1698 10:-25.4272 11:1.33396 12:-252.266 13:-55.7189 14:79.1854 15:12.0786 16:96.7691 17:-164.273 18:184.059 19:144.064 20:52.8494
1 1:4851.34 2:-374.782 3:307.078 4:-385.829 5:306.688 6:-99.2682 7:138.203 8:-320.121 9:212.045 10:313.662 11:-219.112 12:32.9238 13:151.599 14:-156.567 15:159.278 16:-136.564 17:56.8918 18:131.49 19:136.492 20:2.92626
1 1:6666.08 2:655.007 3:346.586 4:418.697 5:322.233 6:126.429 7:885.667 8:60.2879 9:73.2389 10:22.1202 11:413.734 12:28.2316 13:82.5275 14:-239.3 15:48.8204 16:-232.437 17:-56.8023 18:-174.579 19:-92.5273 20:-188.846
1 1:5492.11 2:-176.318 3:1071.16 4:-93.0707 5:6.3283 6:185.876 7:-6.48043 8:181.225 9:225.009 10:248.055 11:-205.567 12:114.161 13:115.824 14:-340.102 15:20.0906 16:27.5803 17:-113.281 18:-147.791 19:116.202 20:107.485
1 1:4642.39 2:543.992 3:-801.558 4:12.5546 5:38.7669 6:90.6226 7:-89.4161 8:32.7881 9:377.381 10:-7.11009 11:-65.7902 12:94.5123 13:-105.131 14:-121.088 15:-2.56331 16:257.527 17:78.2924 18:-181.195 19:-181.29 20:121.171
1 1:6756.97 2:-641.537 3:106.44 4:181.115 5:727.884 6:423.231 7:77.0528 8:-41.7185 9:-85.8753 10:408.956 11:-86.4745 12:-11.3751 13:91.4913 14:223.753 15:73.381 16:-71.1735 17:118.904 18:-22.6845 19:-143.293 20:-91.328
1 1:7459.3 2:-173.651 3:-232.636 4:-132.309 5:267.011 6:-170.574 7:-448.57 8:398.354 9:57.7318 10:-189.375 11:154.679 12:42.8038 13:-164.83 14:-246.365 15:34.2157 16:231.286 17:-5.88409 18:-60.5701 19:21.3788 20:-70.9416
1 1:5819.1 2:-317.16 3:-31.0295 4:170.211 5:186.289 6:498.806 7:156.212 8:-113.101 9:19.4355 10:-0.82556 11:215.923 12:60.2348 13:-266.882 14:-73.1099 15:77.6943 16:-104.987 17:-7.08645 18:-47.1219 19:-54.3471 20:-16.7602
1 1:7142.6 2:863.017 3:-451.988 4:163.26 5:-828.349 6:-751.082 7:-105.837 8:-238.527 9:175.388 10:-169.448 11:-13.2516 12:130.914 13:159.846 14:-93.4577 15:58.9137 16:-154.775 17:72.1028 18:-16.054 19:301.738 20:162.437
1 1:5103.73 2:508.641 3:-46.1717 4:196.588 5:76.1159 6:73.8679 7:269.698 8:304.075 9:191.089 10:39.9076 11:-23.8257 12:-371.844 13:-73.779 14:51.8275 15:-28.5073 16:-138.253 17:-175.376 18:-79.4962 19:11.4307 20:263.699
1 1:4325 2:-75.398 3:-467.796 4:241.416 5:-117.293 6:132.82 7:-30.9602 8:277.703 9:18.5583 10:-288.266 11:318.129 12:4.84803 13:261.313 14:-240.319 15:110.64 16:68.0423 17:-48.3495 18:374.506 19:203.774 20:-215.628
1 1:6369.01 2:-425.474 3:-92.3807 4:-785.411 5:639.239 6:253.841 7:-28.0344 8:83.2964 9:-101.522 10:-371.488 11:73.1742 12:-242.314 13:-343.607 14:128.1 15:-151.82 16:-215.504 17:-46.3833 18:-159.763 19:77.4122 20:-70.0823
1 1:6079.68 2:-1282.63 3:754.855 4:-3.18731 5:410.263 6:827.724 7:-39.811 8:173.923 9:-81.2094 10:207.189 11:-21.1454 12:-138.947 13:72.5143 14:-185.353 15:-8.35352 16:-104.44 17:-8.08559 18:-116.065 19:72.438 20:-220.109
1 1:5803.63 2:-821.676 3:452.371 4:3.72121 5:-494.775 6:776.771 7:111.655 8:-489.863 9:185.531 10:-211.962 11:128.318 12:210.333 13:234.432 14:12.9204 15:66.4366 16:380.907 17:86.5325 18:-20.093 19:288.935 20:263.099
1 1:5947.55 2:-662.562 3:-260.209 4:-196.483 5:47.0284 6:-13.9464 7:87.9529 8:-39.337 9:-27.131 10:41.6097 11:-18.3914 12:28.8905 13:26.3995 14:21.5619 15:-22.987 16:2.6173 17:4.49152 18:-29.0358 19:-166.061 20:-29.8521
1 1:6070.42 2:-354.429 3:157.379 4:394.018 5:489.727 6:-163.374 7:116.417 8:-147.247 9:-107.136 10:-91.0316 11:61.3517 12:93.6501 13:29.5499 14:-545.261 15:22.6592 16:-73.9357 17:-54.7545 18:-217.039 19:-185.659 20:-107.581
1 1:5209.13 2:-175.215 3:-203.269 4:548.203 5:152.545 6:-39.9055 7:470.467 8:-13.9327 9:-277.994 10:-340.285 11:-268.792 12:121.372 13:-12.7894 14:114.768 15:-65.6295 16:298.485 17:92.6356 18:-111.316 19:-20.3543 20:1.77954
1 1:4274.95 2:666.79 3:-996.414 4:-18.2922 5:312.619 6:294.87 7:-93.1093 8:726.518 9:23.1025 10:14.3885 11:-200.414 12:313.946 13:-146.922 14:-134.78 15:448.198 16:-177.452 17:149.598 18:1.08162 19:-124.668 20:-8.89753
1 1:5538.92 2:-951.276 3:459.215 4:280.626 5:-39.4373 6:564.054 7:134.49 8:-795.115 9:-341.479 10:67.1608 11:109.377 12:165.213 13:99.3298 14:75.7775 15:-51.8564 16:139.182 17:94.8031 18:-218.335 19:-3.87589 20:90.138
